reading data...
done.
creating training artifacts...
Using cached encoded data file: train_5_error.pkl
Using cached encoded data file: test_5_error.pkl
done.
training bert_kg model...
run 1 start -- seed=0
initialized continuityBERT with 628261 parameters.
/home/azureuser/.local/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1344: UndefinedMetricWarning: Precision and F-score are ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
epoch 1 time: 1.53e+02s, train loss: 24.7, metrics: {'f1': 0.0, 'f1_macro': 0.4892446120689655, 'prec_macro': 0.5, 'rec_macro': 0.49456383800335285, 'f1_micro': 0.978489224137931, 'prec_micro': 0.978489224137931, 'rec_micro': 0.978489224137931}
epoch 2 time: 1.51e+02s, train loss: 24.6, metrics: {'f1': 0.06143987938183189, 'f1_macro': 0.7479018640160613, 'prec_macro': 0.5159951399283438, 'rec_macro': 0.5252914841192277, 'f1_micro': 0.9785344827586206, 'prec_micro': 0.9785344827586206, 'rec_micro': 0.9785344827586206}
epoch 3 time: 1.51e+02s, train loss: 24.4, metrics: {'f1': 0.1866908551166818, 'f1_macro': 0.7541666378950456, 'prec_macro': 0.5555910513607155, 'rec_macro': 0.5879609473956983, 'f1_micro': 0.9787435344827586, 'prec_micro': 0.9787435344827586, 'rec_micro': 0.9787435344827586}
epoch 4 time: 1.52e+02s, train loss: 24.28, metrics: {'f1': 0.16321601104209799, 'f1_macro': 0.7838365432710981, 'prec_macro': 0.5466576928723564, 'rec_macro': 0.5763156030103769, 'f1_micro': 0.9790948275862069, 'prec_micro': 0.9790948275862069, 'rec_micro': 0.9790948275862069}
epoch 5 time: 1.52e+02s, train loss: 24.24, metrics: {'f1': 0.22083470259612226, 'f1_macro': 0.797357996577662, 'prec_macro': 0.5663951427076053, 'rec_macro': 0.6052395231469235, 'f1_micro': 0.9795603448275862, 'prec_micro': 0.9795603448275862, 'rec_micro': 0.9795603448275862}
epoch 6 time: 1.53e+02s, train loss: 24.2, metrics: {'f1': 0.25878644602048856, 'f1_macro': 0.7940250982533277, 'prec_macro': 0.5810812259895971, 'rec_macro': 0.6242550730938224, 'f1_micro': 0.979728448275862, 'prec_micro': 0.979728448275862, 'rec_micro': 0.979728448275862}
epoch 7 time: 1.53e+02s, train loss: 24.14, metrics: {'f1': 0.22101090188305253, 'f1_macro': 0.8051710354060688, 'prec_macro': 0.566158445601386, 'rec_macro': 0.605356372229189, 'f1_micro': 0.9796724137931034, 'prec_micro': 0.9796724137931034, 'rec_micro': 0.9796724137931034}
epoch 8 time: 1.5e+02s, train loss: 24.13, metrics: {'f1': 0.2749114430925612, 'f1_macro': 0.7881155243327305, 'prec_macro': 0.5880763416991484, 'rec_macro': 0.6323104450805652, 'f1_micro': 0.9797068965517242, 'prec_micro': 0.9797068965517242, 'rec_micro': 0.9797068965517242}
epoch 9 time: 1.5e+02s, train loss: 24.12, metrics: {'f1': 0.2182480543136281, 'f1_macro': 0.8048809544763691, 'prec_macro': 0.5651675547394867, 'rec_macro': 0.6039696581166556, 'f1_micro': 0.9796508620689656, 'prec_micro': 0.9796508620689656, 'rec_micro': 0.9796508620689656}
epoch 10 time: 1.5e+02s, train loss: 24.11, metrics: {'f1': 0.2519773108572342, 'f1_macro': 0.8018169105309663, 'prec_macro': 0.5779439769884693, 'rec_macro': 0.6208749613458215, 'f1_micro': 0.9798211206896552, 'prec_micro': 0.9798211206896552, 'rec_micro': 0.9798211206896552}
epoch 11 time: 1.52e+02s, train loss: 24.1, metrics: {'f1': 0.26908352215016795, 'f1_macro': 0.7965816754214359, 'prec_macro': 0.5850569034676641, 'rec_macro': 0.6294308619392657, 'f1_micro': 0.9798383620689655, 'prec_micro': 0.9798383620689655, 'rec_micro': 0.9798383620689655}
epoch 12 time: 1.51e+02s, train loss: 24.1, metrics: {'f1': 0.2670670037926675, 'f1_macro': 0.8069017777419876, 'prec_macro': 0.5835760992608671, 'rec_macro': 0.6284665543880746, 'f1_micro': 0.9800086206896552, 'prec_micro': 0.9800086206896552, 'rec_micro': 0.9800086206896552}
