reading data...
done.
creating training artifacts...
Using cached encoded data file: train_2_error.pkl
Using cached encoded data file: test_2_error.pkl
done.
training lstm model...
run 1 start -- seed=0
/home/azureuser/.local/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1344: UndefinedMetricWarning: Precision and F-score are ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
epoch 1 time: 5.65e+02s, train loss: 9.879, metrics: {'f1': 0.017094017094017096, 'f1_macro': 0.004310344827586207, 'prec_macro': 0.5, 'rec_macro': 0.008547008547008548, 'f1_micro': 0.008620689655172414, 'prec_micro': 0.008620689655172414, 'rec_micro': 0.008620689655172414}
epoch 2 time: 5.57e+02s, train loss: 9.405, metrics: {'f1': 0.061350636570514774, 'f1_macro': 0.5158094948301712, 'prec_macro': 0.8660521739130436, 'rec_macro': 0.4541696686527091, 'f1_micro': 0.7368706896551724, 'prec_micro': 0.7368706896551724, 'rec_micro': 0.7368706896551724}
epoch 3 time: 5.56e+02s, train loss: 9.02, metrics: {'f1': 0.06403919184443092, 'f1_macro': 0.5160784583172352, 'prec_macro': 0.8391858695652175, 'rec_macro': 0.4668114393317872, 'f1_micro': 0.7710668103448276, 'prec_micro': 0.7710668103448276, 'rec_micro': 0.7710668103448277}
epoch 4 time: 5.56e+02s, train loss: 9.044, metrics: {'f1': 0.0625633371302879, 'f1_macro': 0.5161218464834737, 'prec_macro': 0.8680619565217391, 'rec_macro': 0.4567654609730845, 'f1_micro': 0.7428211206896552, 'prec_micro': 0.7428211206896552, 'rec_micro': 0.7428211206896552}
epoch 5 time: 5.56e+02s, train loss: 9.018, metrics: {'f1': 0.06467612987436776, 'f1_macro': 0.5166623439025867, 'prec_macro': 0.8709173913043478, 'rec_macro': 0.4611627775095064, 'f1_micro': 0.7529051724137931, 'prec_micro': 0.7529051724137931, 'rec_micro': 0.7529051724137931}
epoch 6 time: 5.57e+02s, train loss: 8.994, metrics: {'f1': 0.06114192895890159, 'f1_macro': 0.5157539410037343, 'prec_macro': 0.8655695652173914, 'rec_macro': 0.4537443447604345, 'f1_micro': 0.7359137931034483, 'prec_micro': 0.7359137931034483, 'rec_micro': 0.7359137931034483}
epoch 7 time: 5.56e+02s, train loss: 9.0, metrics: {'f1': 0.06228584362975047, 'f1_macro': 0.5160585734780071, 'prec_macro': 0.868175, 'rec_macro': 0.4560448759805573, 'f1_micro': 0.7410797413793103, 'prec_micro': 0.7410797413793103, 'rec_micro': 0.7410797413793103}
epoch 8 time: 5.56e+02s, train loss: 8.984, metrics: {'f1': 0.06432371433177494, 'f1_macro': 0.5166021542348556, 'prec_macro': 0.8725869565217392, 'rec_macro': 0.4599674147945663, 'f1_micro': 0.7498275862068966, 'prec_micro': 0.7498275862068966, 'rec_micro': 0.7498275862068966}
epoch 9 time: 5.56e+02s, train loss: 8.984, metrics: {'f1': 0.06530605559286498, 'f1_macro': 0.5168606853952928, 'prec_macro': 0.8743369565217392, 'rec_macro': 0.4618450595423854, 'f1_micro': 0.7540344827586207, 'prec_micro': 0.7540344827586207, 'rec_micro': 0.7540344827586207}
epoch 10 time: 5.56e+02s, train loss: 8.986, metrics: {'f1': 0.06534232985988704, 'f1_macro': 0.5168677831480766, 'prec_macro': 0.874225, 'rec_macro': 0.4619520699120347, 'f1_micro': 0.7543038793103448, 'prec_micro': 0.7543038793103448, 'rec_micro': 0.7543038793103448}
epoch 11 time: 5.56e+02s, train loss: 8.981, metrics: {'f1': 0.06523516713547459, 'f1_macro': 0.5168443393029968, 'prec_macro': 0.8743782608695652, 'rec_macro': 0.46167465663675517, 'f1_micro': 0.753625, 'prec_micro': 0.753625, 'rec_micro': 0.753625}
epoch 12 time: 5.56e+02s, train loss: 8.976, metrics: {'f1': 0.06469343580514142, 'f1_macro': 0.5167008949549085, 'prec_macro': 0.8733576086956523, 'rec_macro': 0.4606564529547487, 'f1_micro': 0.7513556034482759, 'prec_micro': 0.7513556034482759, 'rec_micro': 0.7513556034482759}
epoch 13 time: 5.56e+02s, train loss: 8.973, metrics: {'f1': 0.06438962988066133, 'f1_macro': 0.5166197554238247, 'prec_macro': 0.872725, 'rec_macro': 0.4600907489856279, 'f1_micro': 0.7501012931034483, 'prec_micro': 0.7501012931034483, 'rec_micro': 0.7501012931034483}
epoch 14 time: 5.56e+02s, train loss: 8.973, metrics: {'f1': 0.06443812118622891, 'f1_macro': 0.5166418985055574, 'prec_macro': 0.8734728260869565, 'rec_macro': 0.4600354605120142, 'f1_micro': 0.7498642241379311, 'prec_micro': 0.7498642241379311, 'rec_micro': 0.7498642241379311}
epoch 15 time: 5.56e+02s, train loss: 8.972, metrics: {'f1': 0.06450052016548521, 'f1_macro': 0.5166611853711769, 'prec_macro': 0.8737880434782609, 'rec_macro': 0.46011042443577205, 'f1_micro': 0.7499978448275862, 'prec_micro': 0.7499978448275862, 'rec_micro': 0.7499978448275862}
epoch 16 time: 5.56e+02s, train loss: 8.971, metrics: {'f1': 0.06476788808108941, 'f1_macro': 0.516733881089041, 'prec_macro': 0.8744369565217391, 'rec_macro': 0.4605874339881134, 'f1_micro': 0.7510387931034482, 'prec_micro': 0.7510387931034482, 'rec_micro': 0.7510387931034482}
epoch 17 time: 5.57e+02s, train loss: 8.969, metrics: {'f1': 0.06536748784573272, 'f1_macro': 0.5168940321831313, 'prec_macro': 0.8756684782608696, 'rec_macro': 0.46169139646161006, 'f1_micro': 0.7534806034482758, 'prec_micro': 0.7534806034482758, 'rec_micro': 0.7534806034482758}
epoch 18 time: 5.57e+02s, train loss: 8.968, metrics: {'f1': 0.06550772581741358, 'f1_macro': 0.5169315036021774, 'prec_macro': 0.8759532608695653, 'rec_macro': 0.46194715171084405, 'f1_micro': 0.7540452586206896, 'prec_micro': 0.7540452586206896, 'rec_micro': 0.7540452586206895}
epoch 19 time: 5.57e+02s, train loss: 8.968, metrics: {'f1': 0.06550583147687068, 'f1_macro': 0.5169296952790684, 'prec_macro': 0.8758565217391304, 'rec_macro': 0.4619640872923674, 'f1_micro': 0.7540991379310344, 'prec_micro': 0.7540991379310344, 'rec_micro': 0.7540991379310344}
epoch 20 time: 5.57e+02s, train loss: 8.967, metrics: {'f1': 0.06550797759066934, 'f1_macro': 0.5169302687856311, 'prec_macro': 0.8758608695652175, 'rec_macro': 0.4619679933715395, 'f1_micro': 0.7541077586206897, 'prec_micro': 0.7541077586206897, 'rec_micro': 0.7541077586206897}
epoch 21 time: 5.56e+02s, train loss: 8.967, metrics: {'f1': 0.06550475847270226, 'f1_macro': 0.516929408540355, 'prec_macro': 0.875854347826087, 'rec_macro': 0.46196213426860067, 'f1_micro': 0.7540948275862069, 'prec_micro': 0.7540948275862069, 'rec_micro': 0.7540948275862069}
epoch 22 time: 5.57e+02s, train loss: 8.966, metrics: {'f1': 0.06549563935634442, 'f1_macro': 0.5169269716533371, 'prec_macro': 0.8758358695652174, 'rec_macro': 0.4619455339922493, 'f1_micro': 0.7540581896551725, 'prec_micro': 0.7540581896551725, 'rec_micro': 0.7540581896551725}
epoch 23 time: 5.56e+02s, train loss: 8.966, metrics: {'f1': 0.06550289850325877, 'f1_macro': 0.5169302136592964, 'prec_macro': 0.8759434782608695, 'rec_macro': 0.4619383632375427, 'f1_micro': 0.7540258620689655, 'prec_micro': 0.7540258620689655, 'rec_micro': 0.7540258620689655}
epoch 24 time: 5.56e+02s, train loss: 8.965, metrics: {'f1': 0.06549324600900533, 'f1_macro': 0.5169276343630977, 'prec_macro': 0.8759239130434783, 'rec_macro': 0.4619207869307917, 'f1_micro': 0.7539870689655173, 'prec_micro': 0.7539870689655173, 'rec_micro': 0.7539870689655173}
