reading data...
done.
creating training artifacts...
Using cached encoded data file: train_1_error.pkl
Using cached encoded data file: test_1_error.pkl
done.
training bert model...
run 1 start -- seed=0
initialized continuityBERT with 527361 parameters.
/home/azureuser/.local/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1344: UndefinedMetricWarning: Precision and F-score are ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
epoch 1 time: 1.27e+02s, train loss: 4.944, metrics: {'f1': 0.0, 'f1_macro': 0.4978448275862069, 'prec_macro': 0.5, 'rec_macro': 0.4989200863930886, 'f1_micro': 0.9956896551724138, 'prec_micro': 0.9956896551724138, 'rec_micro': 0.9956896551724138}
epoch 2 time: 1.22e+02s, train loss: 4.912, metrics: {'f1': 0.09074187614960146, 'f1_macro': 0.5566359516034098, 'prec_macro': 0.5357943722943723, 'rec_macro': 0.5437672405950821, 'f1_micro': 0.9936077586206896, 'prec_micro': 0.9936077586206896, 'rec_micro': 0.9936077586206896}
epoch 3 time: 1.22e+02s, train loss: 4.85, metrics: {'f1': 0.14554216867469877, 'f1_macro': 0.5683942989644781, 'prec_macro': 0.5735, 'rec_macro': 0.5708519416193757, 'f1_micro': 0.9923577586206896, 'prec_micro': 0.9923577586206896, 'rec_micro': 0.9923577586206896}
epoch 4 time: 1.21e+02s, train loss: 4.819, metrics: {'f1': 0.11640211640211641, 'f1_macro': 0.5839676354713852, 'prec_macro': 0.543082251082251, 'rec_macro': 0.5567566964014008, 'f1_micro': 0.9942413793103448, 'prec_micro': 0.9942413793103448, 'rec_micro': 0.9942413793103448}
epoch 5 time: 1.21e+02s, train loss: 4.811, metrics: {'f1': 0.16435045317220545, 'f1_macro': 0.6019494529088855, 'prec_macro': 0.5668766233766234, 'rec_macro': 0.5806795902106688, 'f1_micro': 0.9940387931034482, 'prec_micro': 0.9940387931034482, 'rec_micro': 0.9940387931034482}
epoch 6 time: 1.21e+02s, train loss: 4.776, metrics: {'f1': 0.18738574040219377, 'f1_macro': 0.5845572804569737, 'prec_macro': 0.6003722943722943, 'rec_macro': 0.5917678444330354, 'f1_micro': 0.9923362068965518, 'prec_micro': 0.9923362068965518, 'rec_micro': 0.9923362068965518}
epoch 7 time: 1.22e+02s, train loss: 4.757, metrics: {'f1': 0.19443110897743637, 'f1_macro': 0.5917634937770748, 'prec_macro': 0.5993441558441559, 'rec_macro': 0.5953992108598845, 'f1_micro': 0.9927672413793104, 'prec_micro': 0.9927672413793104, 'rec_micro': 0.9927672413793104}
epoch 8 time: 1.22e+02s, train loss: 4.74, metrics: {'f1': 0.18994413407821228, 'f1_macro': 0.587126125908021, 'prec_macro': 0.5999567099567099, 'rec_macro': 0.5930883467131142, 'f1_micro': 0.9925, 'prec_micro': 0.9925, 'rec_micro': 0.9925}
epoch 9 time: 1.21e+02s, train loss: 4.733, metrics: {'f1': 0.19517795637198623, 'f1_macro': 0.5885276894160385, 'prec_macro': 0.6041612554112554, 'rec_macro': 0.5956916041949035, 'f1_micro': 0.9924461206896552, 'prec_micro': 0.9924461206896552, 'rec_micro': 0.9924461206896552}
epoch 10 time: 1.22e+02s, train loss: 4.719, metrics: {'f1': 0.20081281377002153, 'f1_macro': 0.594487258509195, 'prec_macro': 0.6030919913419913, 'rec_macro': 0.5985970658575129, 'f1_micro': 0.9927952586206896, 'prec_micro': 0.9927952586206896, 'rec_micro': 0.9927952586206896}
epoch 11 time: 1.22e+02s, train loss: 4.714, metrics: {'f1': 0.19733978234582827, 'f1_macro': 0.5938269039603739, 'prec_macro': 0.6001309523809524, 'rec_macro': 0.59687363306161, 'f1_micro': 0.9928469827586207, 'prec_micro': 0.9928469827586207, 'rec_micro': 0.9928469827586207}
epoch 12 time: 1.23e+02s, train loss: 4.707, metrics: {'f1': 0.20721153846153845, 'f1_macro': 0.5980698782967967, 'prec_macro': 0.6058787878787879, 'rec_macro': 0.6018208281154246, 'f1_micro': 0.9928922413793103, 'prec_micro': 0.9928922413793103, 'rec_micro': 0.9928922413793103}
epoch 13 time: 1.21e+02s, train loss: 4.702, metrics: {'f1': 0.20314735336194562, 'f1_macro': 0.5953787746985557, 'prec_macro': 0.6045865800865801, 'rec_macro': 0.5997648553483553, 'f1_micro': 0.9927974137931035, 'prec_micro': 0.9927974137931035, 'rec_micro': 0.9927974137931035}
epoch 14 time: 1.22e+02s, train loss: 4.704, metrics: {'f1': 0.20565302144249512, 'f1_macro': 0.5985769943702369, 'prec_macro': 0.6036796536796537, 'rec_macro': 0.6010622428815773, 'f1_micro': 0.9929741379310345, 'prec_micro': 0.9929741379310345, 'rec_micro': 0.9929741379310345}
epoch 15 time: 1.26e+02s, train loss: 4.699, metrics: {'f1': 0.20356111645813282, 'f1_macro': 0.596391043798146, 'prec_macro': 0.6038744588744589, 'rec_macro': 0.5999891302390595, 'f1_micro': 0.9928663793103448, 'prec_micro': 0.9928663793103448, 'rec_micro': 0.9928663793103448}
epoch 16 time: 1.24e+02s, train loss: 4.688, metrics: {'f1': 0.20280735721200388, 'f1_macro': 0.596553012368681, 'prec_macro': 0.6028961038961039, 'rec_macro': 0.5996209563989334, 'f1_micro': 0.9929008620689656, 'prec_micro': 0.9929008620689656, 'rec_micro': 0.9929008620689656}
epoch 17 time: 1.24e+02s, train loss: 4.685, metrics: {'f1': 0.20361328125, 'f1_macro': 0.5977616313121737, 'prec_macro': 0.6024329004329004, 'rec_macro': 0.6000413056984275, 'f1_micro': 0.9929698275862069, 'prec_micro': 0.9929698275862069, 'rec_micro': 0.9929698275862069}
epoch 18 time: 1.24e+02s, train loss: 4.683, metrics: {'f1': 0.20735155513666353, 'f1_macro': 0.5963500118643426, 'prec_macro': 0.6080476190476191, 'rec_macro': 0.6018549504235013, 'f1_micro': 0.99275, 'prec_micro': 0.99275, 'rec_micro': 0.99275}
epoch 19 time: 1.25e+02s, train loss: 4.681, metrics: {'f1': 0.2065479056331247, 'f1_macro': 0.5978813893239407, 'prec_macro': 0.6053831168831169, 'rec_macro': 0.601490105725164, 'f1_micro': 0.9928965517241379, 'prec_micro': 0.9928965517241379, 'rec_micro': 0.9928965517241379}
epoch 20 time: 1.24e+02s, train loss: 4.679, metrics: {'f1': 0.20803897685749084, 'f1_macro': 0.5997224102021727, 'prec_macro': 0.6049339826839827, 'rec_macro': 0.6022600893628343, 'f1_micro': 0.9929935344827586, 'prec_micro': 0.9929935344827586, 'rec_micro': 0.9929935344827586}
epoch 21 time: 1.24e+02s, train loss: 4.681, metrics: {'f1': 0.21549463647199046, 'f1_macro': 0.6012852435349565, 'prec_macro': 0.6111136363636364, 'rec_macro': 0.6059660981733197, 'f1_micro': 0.9929073275862069, 'prec_micro': 0.9929073275862069, 'rec_micro': 0.9929073275862069}
epoch 22 time: 1.25e+02s, train loss: 4.675, metrics: {'f1': 0.20619531804209032, 'f1_macro': 0.5961082246987501, 'prec_macro': 0.6070595238095238, 'rec_macro': 0.6012806502602159, 'f1_micro': 0.9927650862068965, 'prec_micro': 0.9927650862068965, 'rec_micro': 0.9927650862068965}
epoch 23 time: 1.26e+02s, train loss: 4.673, metrics: {'f1': 0.2112503070498649, 'f1_macro': 0.6021151869657533, 'prec_macro': 0.605724025974026, 'rec_macro': 0.6038874658887613, 'f1_micro': 0.9930797413793103, 'prec_micro': 0.9930797413793103, 'rec_micro': 0.9930797413793103}
